,Sample Date,Address,1st Draw,2/3 Min,5 Min
199,2016-04-02 00:00:00,5200 W PENNSACOLA AVE,1.68,1.27,1.16
200,2016-04-02 00:00:00,6100 S KARLOV AVE,1.98,3.54,2.3
201,2016-04-02 00:00:00,9900 S MALTA AVE,1.21,1.22,1.14
202,2016-04-02 00:00:00,3500 W 84TH PL,2.67,2.11,3.56
203,2016-04-02 00:00:00,1300 W 50TH ST,1.0,1.0,1.0
204,2016-04-02 00:00:00,12400 S YALE AVE,3.99,11.6,1.95
205,2016-04-06 00:00:00,6100 N MONTICELLO AVE,10.5,3.11,3.31
206,2016-04-06 00:00:00,600 E 84TH ST,1.0,1.0,1.0
207,2016-04-06 00:00:00,0 W 15TH ST,1.0,1.0,1.0
208,2016-04-06 00:00:00,3700 N KEDVALE AVE,1.36,1.86,1.17
209,2016-04-07 00:00:00,1100 W WELLINGTON AVE,2.8,1.32,1.13
210,2016-04-07 00:00:00,8600 S ABERDEEN ST,4.42,1.48,1.4
211,2016-04-07 00:00:00,10400 S CENTRAL PARK AVE,1.59,4.51,1.31
212,2016-04-07 00:00:00,2700 N LAKEWOOD AVE,1.0,1.0,1.0
213,2016-04-08 00:00:00,200 W 70TH ST,1.0,1.0,1.0
214,2016-04-09 00:00:00,3100 N HONORE ST,1.36,2.96,1.34
215,2016-04-09 00:00:00,6300 N LEMONT AVE,2.22,1.0,1.0
216,2016-04-09 00:00:00,10400 S CAMPBELL AVE,1.16,2.3,1.0
217,2016-04-10 00:00:00,11300 S CHURCH ST,1.68,1.07,1.0
218,2016-04-10 00:00:00,9300 S RACINE AVE,2.89,6.54,1.84
219,2016-04-12 00:00:00,4400 N RAVENSWOOD AVE,1.0,1.0,1.0
220,2016-04-13 00:00:00,7300 W RASCHER AVE,2.61,1.64,1.25
221,2016-04-16 00:00:00,7300 S HERMITAGE AVE,1.35,1.0,1.0
222,2016-04-16 00:00:00,3600 S GILES AVE,2.61,13.3,2.34
223,2016-04-19 00:00:00,1100 W GEORGE ST,1.0,1.0,1.0
224,2016-04-19 00:00:00,500 W WEBSTER AVE,2.52,1.75,1.52
225,2016-04-19 00:00:00,5100 N OAKLEY AVE,3.81,4.1,2.64
226,2016-04-20 00:00:00,6900 S CLAREMONT AVE,1.14,1.0,1.0
227,2016-04-20 00:00:00,10600 S EMERALD AVE,1.55,1.0,1.0
