Name,Street Dir,Street Num
Pierce Ave,N,1532
Pine Ave,W,5500
Pine Grove Ave,W,500
Pioneer Ave,W,8200
Pippin St,S,7652
Pittsburgh Ave,W,8232
Plainfield Ave,W,8300
Pleasant Ave,W,2136
Plymouth Court,W,30
Poe St,W,1013
Point St,W,2648
Polk St,S,800
Pollock St,W,2608
Ponchartrain Blvd,W,5700
Pontiac Ave,W,8332
Pool Dr,S,5512
Pope John Paul II Dr,S,4300
Poplar Ave,W,1000
Portland Ave,W,252
Post Pl,W,228
Potawatomie Ave,W,8630
Potomac Ave,N,1300
Prairie Ave,E,300
Prairie Pkwy,E,312
Prairie Park Pl,E,300
Pratt Blvd,N,6800
Pratt Ave,N,6800
Prescott Ave,W,5500
Princeton Ave,W,300
Prindiville St,N,2246
Promontory Dr,E,2124
Prospect Ave,W,1721
Prospect Square,W,1800
Pryor Ave,S,11156
Public Way,S,6014
Pueblo Ave,W,8400
Pulaski Rd,W,4000
Quincy St,S,220
Quinn St,W,1000
Race Ave,N,526
Racine Ave,W,1200
Railroad Ave,S,900
Rainey Dr,S,5520
Randolph St,N,150
Rascher Ave,N,5432
Raven St,N,6300
Ravenswood Ave,W,1800
Redfield Dr,S,3530
Redwood Ave,W,8000
Redwood Dr,W,8000
Reilly Ave,W,3716
Reserve Ave,W,8730
Reta Ave,W,832
Rhodes Ave,E,532
Rice St,N,832
Richards Dr,E,1900
Richmond St,W,2932
Ridge Ave,W,1200
Ridge Blvd,W,1900
Ridgeland Ave,E,1732
Ridgeway Ave,W,3732
Ridgewood Court,E,1368
Ritchie Court,E,62
Riverdale Ave,E,432
River Dr,N,404
River Loft Court,N,2900
Riverside Plaza,W,416
Riverview Pkwy,N,3256
Riverwalk,N,300
Riverwalk,N,342
Robinson St,W,1700
Rochdale Pl,S,5474
Rockwell Ave,W,2600
Rockwell St,W,2600
Rogers Ave,W,5212
Roosevelt Rd,S,1200
Roosevelt Dr,S,1200
Root St,S,4134
Roscoe St,N,3400
Rose St,W,9536
Rosedale Ave,N,5900
Rosehill Dr,N,5800
Rosemont Ave,N,6300
Roslyn Pl,N,2500
Ross Ave,W,200
Ruble St,W,652
Rumsey Ave,S,8500
Rundell Pl,S,14
Rush St,E,65
Russell Dr,E,536
Rutherford Ave,W,6732
Sacramento Blvd,W,3000
Sacramento Dr,W,3000
Sacramento Square,N,442
Sacramento Ave,W,3000
Saginaw Ave,E,2638
Sandburg Terrace,W,118
Sanford Ave,W,9700
Sangamon St,W,932
Sauganash Ave,W,4140
Sauganash Lane,W,4232
Sawyer Ave,W,3232
Sayre Ave,W,6958
Schick Pl,W,500
Schiller St,N,1400
School St,N,3300
Schorsch St,N,3314
Schraeder Dr,N,134
